,index,Rk,Player,Age,Tm,Pos,GP,G▼,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Season,Keep
658,658,659,Brandon Manning,29,EDM,D,9,1,0,1,-1,17,0.2,1,0,0,0,0,0,0,8,12.5,99,11:03,6,10,0,0,,2019-2020,True
659,659,660,Josh Manson,28,ANA,D,45,1,7,8,-7,35,1.5,1,0,0,0,6,0,1,60,1.7,944,20:58,54,105,0,0,,2019-2020,True
660,660,661,Ryan McDonagh,30,TBL,D,48,1,11,12,7,17,2.3,1,0,0,0,10,0,1,49,2.0,992,20:40,95,33,0,0,,2019-2020,True
661,661,662,Nicholas Merkley,22,NJD,RW,4,1,1,2,0,2,0.2,1,0,0,0,1,0,0,8,12.5,45,11:22,2,9,0,0,,2019-2020,True
662,662,663,Colin Miller,27,BUF,D,48,1,10,11,-9,20,1.3,1,0,0,1,7,3,0,77,1.3,822,17:08,37,81,0,0,,2019-2020,True
663,663,664,Patrik Nemeth,27,DET,D,60,1,8,9,-12,28,2.3,1,0,0,1,7,0,1,83,1.2,1319,21:59,84,73,0,0,,2019-2020,True
664,664,665,Logan O'Connor,23,COL,RW,9,1,0,1,3,2,0.2,1,0,0,0,0,0,0,9,11.1,86,9:30,5,4,0,1,0.0,2019-2020,True
665,665,666,Andrew Peeke,21,CBJ,D,18,1,1,2,0,4,0.7,1,0,0,0,1,0,0,18,5.6,248,13:45,18,20,0,0,,2019-2020,True
666,666,667,Adam Pelech,25,NYI,D,38,1,8,9,4,20,2.2,1,0,0,0,6,0,2,49,2.0,803,21:08,83,81,0,0,,2019-2020,True
667,667,668,Brendan Perlini,23,TOT,LW,39,1,3,4,-18,10,-0.7,1,0,0,0,3,0,0,48,2.1,422,10:49,10,22,0,0,,2019-2020,True
668,668,669,Marcus Pettersson,23,PIT,D,63,1,20,21,10,33,4.1,1,0,0,0,18,2,0,68,1.5,1240,19:41,76,95,0,0,,2019-2020,True
669,669,670,Ryan Poehling,21,MTL,C,27,1,1,2,-4,4,-0.3,1,0,0,0,1,0,0,26,3.8,279,10:20,10,38,3,12,20.0,2019-2020,True
670,670,671,Alan Quine,26,CGY,C,9,1,0,1,-1,4,0.0,1,0,0,0,0,0,0,12,8.3,88,9:48,2,6,1,0,100.0,2019-2020,True
671,671,672,Mike Reilly,26,TOT,D,38,1,12,13,-5,22,1.6,0,1,0,1,4,7,1,72,1.4,679,17:53,43,29,0,0,,2019-2020,True
672,672,673,Juuso Riikola,26,PIT,D,35,1,6,7,4,6,1.5,1,0,0,0,4,2,0,38,2.6,483,13:48,23,71,0,0,,2019-2020,True
673,673,674,Buddy Robinson,28,CGY,RW,5,1,0,1,0,7,0.1,1,0,0,0,0,0,0,6,16.7,61,12:14,5,14,0,0,,2019-2020,True
674,674,675,Jan Rutta,29,TBL,D,33,1,6,7,6,14,1.5,1,0,0,0,6,0,0,43,2.3,513,15:33,21,19,0,0,,2019-2020,True
675,675,676,Joakim Ryan,26,LAK,D,35,1,4,5,-10,10,0.8,1,0,0,0,4,0,0,54,1.9,670,19:09,46,24,0,0,,2019-2020,True
676,676,677,Scott Sabourin,27,OTT,F,29,1,4,5,-6,33,0.1,1,0,0,0,4,0,0,22,4.5,188,6:29,11,59,0,1,0.0,2019-2020,True
677,677,678,Miikka Salomaki,26,NSH,RW,5,1,0,1,2,4,0.2,1,0,0,1,0,0,0,2,50.0,61,12:09,3,9,0,0,,2019-2020,True
678,678,679,Rasmus Sandin,19,TOR,D,25,1,6,7,-6,8,0.4,1,0,0,1,4,2,0,20,5.0,358,14:20,18,31,0,0,,2019-2020,True
679,679,680,Luke Schenn,30,TBL,D,24,1,1,2,-8,23,-0.2,1,0,0,0,1,0,0,28,3.6,298,12:24,21,79,0,0,,2019-2020,True
680,680,681,Dylan Sikura,24,CHI,C,9,1,2,3,1,0,0.3,1,0,0,0,2,0,0,10,10.0,89,9:54,2,0,0,3,0.0,2019-2020,True
681,681,682,Radim Simek,27,SJS,D,42,1,7,8,-14,12,0.9,1,0,0,0,7,0,0,33,3.0,696,16:34,50,82,0,0,,2019-2020,True
682,682,683,Gemel Smith,25,TBL,C,3,1,0,1,0,4,0.1,1,0,0,0,0,0,0,1,100.0,28,9:10,2,1,13,7,65.0,2019-2020,True
683,683,684,Vladimir Sobotka,32,BUF,C,16,1,2,3,2,4,0.1,1,0,0,0,2,0,0,23,4.3,228,14:16,7,26,39,31,55.7,2019-2020,True
684,684,685,Daniel Sprong,22,ANA,RW,8,1,1,2,-2,0,0.1,0,1,0,0,1,0,0,17,5.9,113,14:06,3,4,0,0,,2019-2020,True
685,685,686,Jarred Tinordi,27,NSH,D,22,1,4,5,4,32,1.0,1,0,0,0,3,0,1,18,5.6,370,16:49,27,62,0,0,,2019-2020,True
686,686,687,Carsen Twarynski,22,PHI,F,15,1,0,1,-2,4,-0.2,1,0,0,0,0,0,0,14,7.1,160,10:41,8,40,0,2,0.0,2019-2020,True
687,687,688,Trevor van Riemsdyk,28,CAR,D,44,1,6,7,-7,8,0.8,1,0,0,0,6,0,0,53,1.9,659,14:59,35,17,0,0,,2019-2020,True
688,688,689,Gabriel Vilardi,20,LAK,C,4,1,2,3,0,4,0.3,1,0,0,0,1,1,0,6,16.7,54,13:25,1,0,28,15,65.1,2019-2020,True
689,689,690,Mikhail Vorobyev,23,PHI,C,20,1,2,3,-5,6,-0.1,1,0,0,0,2,0,0,15,6.7,209,10:26,3,4,78,62,55.7,2019-2020,True
690,690,691,Nathan Walker,25,STL,C,5,1,1,2,-2,4,0.1,1,0,0,0,1,0,0,6,16.7,56,11:08,1,10,1,0,100.0,2019-2020,True
691,691,692,Yannick Weber,31,NSH,D,40,1,2,3,-1,12,0.5,1,0,0,1,2,0,0,44,2.3,565,14:08,36,35,0,0,,2019-2020,True
692,692,693,Dale Weise,31,MTL,RW,18,1,3,4,0,16,0.2,1,0,0,0,3,0,0,12,8.3,167,9:18,8,53,0,0,,2019-2020,True
693,693,694,Scott Wilson,27,BUF,C,6,1,1,2,1,2,0.2,1,0,0,0,1,0,0,8,12.5,70,11:38,0,3,0,0,,2019-2020,True
694,694,695,Luke Witkowski,29,TBL,D,12,1,2,3,-4,13,0.1,1,0,0,0,2,0,0,10,10.0,106,8:48,3,38,0,0,,2019-2020,True
695,695,696,Nikita Zaitsev,28,OTT,D,52,1,9,10,-7,12,1.5,1,0,0,0,9,0,0,55,1.8,1155,22:12,110,94,0,0,,2019-2020,True
696,696,697,Valentin Zykov,24,VEG,LW,15,1,3,4,-2,6,0.1,0,1,0,0,3,0,0,19,5.3,183,12:13,3,20,0,1,0.0,2019-2020,True
697,697,698,Justin Abdelkader,32,DET,LW,46,0,3,3,-13,25,-0.8,0,0,0,0,3,0,0,40,0.0,540,11:44,24,97,38,31,55.1,2019-2020,True
698,698,699,Pontus Aberg,26,TOR,LW,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,4,0.0,44,8:42,1,1,0,0,,2019-2020,True
699,699,700,Andrew Agozzino,29,TOT,LW,19,0,2,2,2,4,0.1,0,0,0,0,2,0,0,8,0.0,129,6:46,6,22,34,34,50.0,2019-2020,True
700,700,701,Karl Alzner,31,MTL,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,45,14:56,3,1,0,0,,2019-2020,True
701,701,702,Jaret Anderson-Dolan,20,LAK,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,41,10:16,0,3,5,8,38.5,2019-2020,True
702,702,703,Lias Andersson,21,NYR,C,17,0,1,1,-8,4,-0.5,0,0,0,0,1,0,0,13,0.0,162,9:33,8,20,41,47,46.6,2019-2020,True
703,703,704,Andy Andreoff,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0.0,119,8:32,4,20,4,4,50.0,2019-2020,True
704,704,705,Sven Baertschi,27,VAN,LW,6,0,2,2,-2,4,0.0,0,0,0,0,0,2,0,7,0.0,71,11:49,0,5,0,0,,2019-2020,True
705,705,706,Justin Bailey,24,VAN,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,5:20,0,4,0,0,,2019-2020,True
706,706,707,Riley Barber,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0.0,74,8:15,1,15,1,0,100.0,2019-2020,True
707,707,708,Mark Barberio,29,COL,D,14,0,2,2,7,12,0.8,0,0,0,0,2,0,0,21,0.0,222,15:52,15,11,0,0,,2019-2020,True
708,708,709,J.C. Beaudin,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0.0,190,8:38,11,51,62,56,52.5,2019-2020,True
709,709,710,Tyler Benson,21,EDM,LW,7,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,5,0.0,73,10:23,1,3,1,0,100.0,2019-2020,True
710,710,711,Lean Bergmann,21,SJS,F,9,0,1,1,-5,4,-0.2,0,0,0,0,1,0,0,10,0.0,73,8:04,4,11,0,2,0.0,2019-2020,True
711,711,712,Alex Biega,31,DET,D,44,0,2,2,-11,20,0.6,0,0,0,0,2,0,0,49,0.0,708,16:05,42,99,0,0,,2019-2020,True
712,712,713,Jake Bischoff,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,6,0.0,62,15:36,8,8,0,0,,2019-2020,True
713,713,714,Clark Bishop,23,CAR,C,5,0,1,1,-2,4,0.0,0,0,0,0,1,0,0,4,0.0,38,7:39,0,5,13,21,38.2,2019-2020,True
714,714,715,Anthony Bitetto,29,WPG,D,50,0,7,7,3,32,1.6,0,0,0,0,6,0,1,54,0.0,760,15:12,50,141,0,0,,2019-2020,True
715,715,716,Tobias Bjornfot,18,LAK,D,3,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,0,,39,12:58,0,0,0,0,,2019-2020,True
716,716,717,Joachim Blichfeld,21,SJS,W,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,38,12:46,4,3,0,0,,2019-2020,True
717,717,718,Anton Blidh,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0.0,81,11:31,5,20,0,1,0.0,2019-2020,True
718,718,719,Henrik Borgström,22,FLA,C,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,3,0.0,50,12:23,0,1,13,14,48.1,2019-2020,True
719,719,720,Erik Brannstrom,20,OTT,D,31,0,4,4,-9,16,0.1,0,0,0,0,3,1,0,38,0.0,460,14:51,36,15,0,0,,2019-2020,True
720,720,721,Jonny Brodzinski,26,SJS,C,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,5,0.0,22,7:24,0,3,0,1,0.0,2019-2020,True
721,721,722,Adam Brooks,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,3,0,0,2,0.0,55,7:51,1,0,5,5,50.0,2019-2020,True
722,722,723,Paul Carey,31,BOS,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,6:22,1,0,0,0,,2019-2020,True
723,723,724,Gabriel Carlsson,23,CBJ,D,6,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,3,0.0,65,10:53,0,5,0,0,,2019-2020,True
724,724,725,Lucas Carlsson,22,CHI,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,27,13:18,1,5,0,0,,2019-2020,True
725,725,726,Connor Carrick,25,NJD,D,23,0,4,4,-5,15,0.4,0,0,0,0,4,0,0,12,0.0,323,14:03,32,20,0,0,,2019-2020,True
726,726,727,Trevor Carrick,25,SJS,D,3,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,17,5:47,0,1,0,0,,2019-2020,True
727,727,728,Alexandre Carrier,23,NSH,D,3,0,0,0,2,2,0.2,0,0,0,0,0,0,0,4,0.0,32,10:47,0,3,0,0,,2019-2020,True
728,728,729,Peter Cehlarik,24,BOS,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,0,,34,11:16,2,2,1,1,50.0,2019-2020,True
729,729,730,Michael Chaput,27,ARI,C,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,20,10:01,2,3,7,6,53.8,2019-2020,True
730,730,731,Andrei Chibisov,26,WPG,F,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,15,7:27,1,1,0,0,,2019-2020,True
731,731,732,Fredrik Claesson,27,NJD,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,29,14:37,2,1,0,0,,2019-2020,True
732,732,733,Kale Clague,21,LAK,D,4,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,2,0.0,58,14:34,4,1,0,0,,2019-2020,True
733,733,734,Cory Conacher,30,TBL,LW,4,0,1,1,-2,4,-0.1,0,0,0,0,1,0,0,5,0.0,44,11:05,1,3,0,0,,2019-2020,True
734,734,735,Kevin Connauton,29,COL,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,17,17:14,1,3,0,0,,2019-2020,True
735,735,736,Carl Dahlstrom,25,WPG,D,15,0,1,1,-4,6,0.0,0,0,0,0,1,0,0,9,0.0,221,14:46,13,5,0,0,,2019-2020,True
736,736,737,Trevor Daley,36,DET,D,38,0,6,6,-22,16,0.0,0,0,0,0,4,2,0,34,0.0,608,16:00,40,9,0,0,,2019-2020,True
737,737,738,Marko Daňo,25,CBJ,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0.0,22,7:10,3,5,0,0,,2019-2020,True
738,738,739,Brandon Davidson,28,CGY,D,7,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,13,0.0,86,12:16,15,10,0,0,,2019-2020,True
739,739,740,Jonathan Davidsson,22,OTT,RW,6,0,1,1,0,0,0.0,0,0,0,0,1,0,0,3,0.0,33,5:31,1,5,0,0,,2019-2020,True
740,740,741,Chase De Leo,24,ANA,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,15,14:59,0,1,0,1,0.0,2019-2020,True
741,741,742,Jean-Sebastien Dea,25,BUF,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,23,7:38,0,3,1,1,50.0,2019-2020,True
742,742,743,Danny DeKeyser,29,DET,D,8,0,4,4,0,4,0.7,0,0,0,0,4,0,0,12,0.0,176,22:04,18,6,0,0,,2019-2020,True
743,743,744,Dylan DeMelo,26,TOT,D,54,0,10,10,1,33,2.0,0,0,0,0,8,0,2,67,0.0,1084,20:04,70,98,0,0,,2019-2020,True
744,744,745,Jason Demers,31,ARI,D,46,0,9,9,4,23,2.5,0,0,0,0,8,0,1,49,0.0,954,20:45,67,68,0,0,,2019-2020,True
745,745,746,Thomas Di Pauli,25,PIT,C,2,0,0,0,-3,10,-0.1,0,0,0,0,0,0,0,2,0.0,12,5:59,1,4,0,0,,2019-2020,True
746,746,747,Christian Djoos,25,TOT,D,4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,3,0.0,51,12:45,0,1,0,0,,2019-2020,True
747,747,748,Sheldon Dries,25,COL,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,24,7:55,2,14,1,2,33.3,2019-2020,True
748,748,749,Gabriel Dumont,29,MIN,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,35,11:30,2,9,6,9,40.0,2019-2020,True
749,749,750,Andreas Englund,24,OTT,D,18,0,2,2,-6,12,-0.1,0,0,0,0,2,0,0,8,0.0,183,10:11,9,41,0,0,,2019-2020,True
750,750,751,Jonathan Ericsson,35,DET,D,13,0,0,0,-9,0,-0.3,0,0,0,0,0,0,0,14,0.0,203,15:37,8,19,0,0,,2019-2020,True
751,751,752,Martin Fehervary,20,WSH,D,6,0,1,1,-2,6,0.0,0,0,0,0,1,0,0,7,0.0,96,15:59,2,14,0,0,,2019-2020,True
752,752,753,Steven Fogarty,26,NYR,C,6,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,33,5:26,3,4,3,1,75.0,2019-2020,True
753,753,754,Derek Forbort,27,TOT,D,15,0,1,1,-5,4,0.1,0,0,0,0,1,0,0,21,0.0,269,17:54,21,30,0,0,,2019-2020,True
754,754,755,Liam Foudy,19,CBJ,C,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,28,14:13,0,3,0,0,,2019-2020,True
755,755,756,Trent Frederic,21,BOS,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,13,6:26,0,8,0,0,,2019-2020,True
756,756,757,Mark Friedman,24,PHI,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,2,0.0,82,13:35,5,8,0,0,,2019-2020,True
757,757,758,Rhett Gardner,23,DAL,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,8,0.0,81,10:08,2,8,25,28,47.2,2019-2020,True
758,758,759,Brendan Gaunce,25,BOS,C,1,0,1,1,1,2,0.1,0,0,0,0,1,0,0,0,,9,9:10,0,2,0,1,0.0,2019-2020,True
759,759,760,Julien Gauthier,22,TOT,RW,11,0,2,2,3,8,0.2,0,0,0,0,2,0,0,5,0.0,83,7:33,2,12,1,1,50.0,2019-2020,True
760,760,761,Timothy Gettinger,21,NYR,LW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,17,8:23,1,5,0,2,0.0,2019-2020,True
761,761,762,Brian Gibbons,31,CAR,C,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,9,0.0,146,9:46,9,7,0,0,,2019-2020,True
762,762,763,John Gilmour,26,BUF,D,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0.0,68,17:03,3,3,0,0,,2019-2020,True
763,763,764,Nikolay Goldobin,24,VAN,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,8:37,0,1,0,0,,2019-2020,True
764,764,765,Kevin Gravel,27,TOR,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,33,11:05,3,2,0,0,,2019-2020,True
765,765,766,Jordan Gross,24,ARI,D,2,0,1,1,2,0,0.3,0,0,0,0,1,0,0,3,0.0,32,16:11,1,0,0,0,,2019-2020,True
766,766,767,Carl Grundstrom,22,LAK,RW,13,0,4,4,2,8,0.2,0,0,0,0,4,0,0,16,0.0,166,12:46,4,29,0,0,,2019-2020,True
767,767,768,Libor Hajek,21,NYR,D,28,0,5,5,-4,12,0.5,0,0,0,0,5,0,0,23,0.0,448,15:59,44,24,0,0,,2019-2020,True
768,768,769,Dan Hamhuis,37,NSH,D,58,0,8,8,6,35,1.5,0,0,0,0,8,0,0,43,0.0,856,14:45,52,63,0,0,,2019-2020,True
769,769,770,Joel Hanley,28,DAL,D,8,0,2,2,0,6,0.3,0,0,0,0,2,0,0,4,0.0,91,11:21,8,3,0,0,,2019-2020,True
770,770,771,Joe Hicketts,23,DET,D,6,0,2,2,-5,2,0.0,0,0,0,0,2,0,0,6,0.0,110,18:17,13,14,0,0,,2019-2020,True
771,771,772,Charles Hudon,25,MTL,LW,10,0,1,1,-5,0,-0.3,0,0,0,0,1,0,0,14,0.0,99,9:55,1,19,0,1,0.0,2019-2020,True
772,772,773,Cameron Hughes,23,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,10,9:53,2,1,0,0,,2019-2020,True
773,773,774,Dryden Hunt,24,FLA,LW,21,0,4,4,0,24,0.0,0,0,0,0,4,0,0,33,0.0,220,10:30,7,37,0,0,,2019-2020,True
774,774,775,Matt Irwin,32,TOT,D,29,0,2,2,-8,13,-0.3,0,0,0,0,2,0,0,42,0.0,362,12:29,36,62,0,0,,2019-2020,True
775,775,776,Christian Jaros,23,OTT,D,10,0,3,3,-2,6,0.2,0,0,0,0,2,0,1,4,0.0,107,10:43,10,12,0,0,,2019-2020,True
776,776,777,Nick Jensen,29,WSH,D,63,0,6,6,-3,13,0.9,0,0,0,0,5,1,0,57,0.0,1107,17:34,63,56,0,0,,2019-2020,True
777,777,778,Luke Johnson,25,MIN,C,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,35,11:35,0,6,16,16,50.0,2019-2020,True
778,778,779,Tomas Jurco,27,EDM,RW,12,0,2,2,1,4,0.1,0,0,0,0,2,0,0,7,0.0,120,9:59,3,4,2,2,50.0,2019-2020,True
779,779,780,Steven Kampfer,31,BOS,D,10,0,2,2,2,2,0.5,0,0,0,0,0,2,0,13,0.0,136,13:38,8,15,0,0,,2019-2020,True
780,780,781,Otto Koivula,21,NYI,LW,11,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,4,0.0,89,8:05,4,12,22,37,37.3,2019-2020,True
781,781,782,Keegan Kolesar,22,VEG,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,12:06,0,2,1,0,100.0,2019-2020,True
782,782,783,Brett Kulak,26,MTL,D,51,0,7,7,-4,10,1.2,0,0,0,0,7,0,0,91,0.0,866,16:59,49,54,0,0,,2019-2020,True
783,783,784,Andrew Ladd,34,NYI,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,21,10:39,0,11,0,0,,2019-2020,True
784,784,785,Paul Ladue,27,LAK,D,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,26,12:48,3,2,0,0,,2019-2020,True
785,785,786,William Lagesson,23,EDM,D,8,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,8,0.0,95,11:52,12,4,0,0,,2019-2020,True
786,786,787,Maxime Lajoie,22,OTT,D,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,47,7:49,3,2,0,0,,2019-2020,True
787,787,788,Brian Lashoff,29,DET,D,9,0,1,1,1,6,0.4,0,0,0,0,1,0,0,6,0.0,131,14:33,7,16,0,0,,2019-2020,True
788,788,789,Otto Leskinen,22,MTL,D,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,51,10:18,1,13,0,0,,2019-2020,True
789,789,790,Mark Letestu,34,WPG,C,7,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,74,10:36,5,3,25,21,54.3,2019-2020,True
790,790,791,Tyler Lewington,25,WSH,D,6,0,0,0,-2,17,-0.1,0,0,0,0,0,0,0,2,0.0,61,10:10,7,13,0,0,,2019-2020,True
791,791,792,Timothy Liljegren,20,TOR,D,9,0,1,1,-5,0,-0.3,0,0,0,0,1,0,0,2,0.0,92,10:12,10,5,0,0,,2019-2020,True
792,792,793,Anton Lindholm,25,COL,D,4,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,47,11:47,5,5,0,0,,2019-2020,True
793,793,794,Gustav Lindstrom,21,DET,D,11,0,0,0,-7,10,-0.2,0,0,0,0,0,0,0,5,0.0,179,16:16,8,15,0,0,,2019-2020,True
794,794,795,Isac Lundestrom,20,ANA,C,15,0,4,4,-2,0,0.0,0,0,0,0,3,1,0,10,0.0,209,13:55,8,5,65,74,46.8,2019-2020,True
795,795,796,Eetu Luostarinen,21,CAR,C,8,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,9,0.0,80,9:59,2,9,33,30,52.4,2019-2020,True
796,796,797,Joona Luoto,22,WPG,F,16,0,0,0,-3,2,-0.3,0,0,0,0,0,0,0,9,0.0,105,6:35,8,10,0,0,,2019-2020,True
797,797,798,Ilya Lyubushkin,25,ARI,D,47,0,4,4,5,16,1.7,0,0,0,0,4,0,0,39,0.0,656,13:57,48,139,0,0,,2019-2020,True
798,798,799,Ryan MacInnis,23,CBJ,C,9,0,1,1,1,0,0.0,0,0,0,0,1,0,0,12,0.0,84,9:22,3,7,7,11,38.9,2019-2020,True
799,799,800,Beck Malenstyn,21,WSH,LW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,28,9:16,1,5,0,0,,2019-2020,True
800,800,801,Mason Marchment,24,TOR,F,4,0,1,1,0,0,0.0,0,0,0,0,1,0,0,3,0.0,32,8:05,0,3,1,0,100.0,2019-2020,True
801,801,802,Martin Marincin,27,TOR,D,22,0,2,2,-1,12,0.2,0,0,0,0,2,0,0,20,0.0,328,14:55,32,17,0,0,,2019-2020,True
802,802,803,Dylan McIlrath,27,DET,D,16,0,0,0,-4,23,0.1,0,0,0,0,0,0,0,14,0.0,237,14:49,12,48,0,0,,2019-2020,True
803,803,804,Michael McLeod,21,NJD,C,7,0,2,2,1,2,0.1,0,0,0,0,2,0,0,8,0.0,67,9:34,3,10,23,25,47.9,2019-2020,True
804,804,805,Jayson Megna,29,COL,C,8,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,4,0.0,54,6:43,5,10,0,1,0.0,2019-2020,True
805,805,806,Brennan Menell,22,MIN,D,5,0,0,0,1,2,0.1,0,0,0,0,0,0,0,4,0.0,70,13:59,4,2,0,0,,2019-2020,True
806,806,807,Dakota Mermis,26,NJD,D,4,0,1,1,4,4,0.5,0,0,0,0,1,0,0,7,0.0,77,19:09,5,4,0,0,,2019-2020,True
807,807,808,Jacob Middleton,24,SJS,D,9,0,2,2,-2,9,0.2,0,0,0,0,2,0,0,9,0.0,96,10:43,3,15,0,0,,2019-2020,True
808,808,809,Niko Mikkola,23,STL,D,5,0,1,1,3,0,0.4,0,0,0,0,1,0,0,10,0.0,72,14:22,3,5,0,0,,2019-2020,True
809,809,810,Samuel Morin,24,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,12:32,0,2,0,0,,2019-2020,True
810,810,811,Aaron Ness,29,ARI,D,24,0,1,1,1,0,0.6,0,0,0,0,1,0,0,11,0.0,301,12:32,20,17,0,0,,2019-2020,True
811,811,812,Boo Nieves,26,NYR,C,4,0,0,0,2,4,0.0,0,0,0,0,0,0,0,2,0.0,30,7:32,2,3,14,5,73.7,2019-2020,True
812,812,813,Sami Niku,23,WPG,D,17,0,5,5,-2,12,0.6,0,0,0,0,5,0,0,27,0.0,275,16:10,19,16,0,0,,2019-2020,True
813,813,814,Joshua Norris,20,OTT,C,2,0,0,0,2,0,0.0,0,0,0,0,0,0,0,6,0.0,33,16:27,2,1,19,9,67.9,2019-2020,True
814,814,815,Mathieu Olivier,22,NSH,F,8,0,1,1,1,4,0.0,0,0,0,0,1,0,0,6,0.0,60,7:33,1,17,0,0,,2019-2020,True
815,815,816,Gustav Olofsson,25,MTL,D,3,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,2,0.0,24,8:06,6,1,0,0,,2019-2020,True
816,816,817,Xavier Ouellet,26,MTL,D,7,0,1,1,2,0,0.3,0,0,0,0,1,0,0,5,0.0,90,12:49,8,18,0,0,,2019-2020,True
817,817,818,Greg Pateryn,29,MIN,D,15,0,3,3,4,2,0.8,0,0,0,0,3,0,0,19,0.0,239,15:56,23,18,0,0,,2019-2020,True
818,818,819,Matthew Peca,26,TOT,C,8,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,5,0.0,75,9:24,2,6,8,9,47.1,2019-2020,True
819,819,820,Joel Persson,25,EDM,D,13,0,2,2,-1,2,0.4,0,0,0,0,2,0,0,17,0.0,199,15:19,10,6,0,0,,2019-2020,True
820,820,821,Nic Petan,24,TOR,C,16,0,3,3,-4,4,-0.2,0,0,0,0,3,0,0,19,0.0,178,11:07,4,7,1,3,25.0,2019-2020,True
821,821,822,Lawrence Pilut,24,BUF,D,11,0,0,0,-4,2,-0.1,0,0,0,0,0,0,0,5,0.0,177,16:08,19,9,0,0,,2019-2020,True
822,822,823,Brandon Pirri,28,VEG,C,11,0,1,1,-3,6,-0.3,0,0,0,0,1,0,0,19,0.0,142,12:52,2,9,4,3,57.1,2019-2020,True
